 price:13300000, area:7420, bedrooms:4, bathrooms:2, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:6510000, area:8250, bedrooms:3, bathrooms:2, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:furnished 
 price:6440000, area:8580, bedrooms:5, bathrooms:3, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:furnished 
 price:6419000, area:6750, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:6405000, area:4800, bedrooms:3, bathrooms:2, stories:4, mainroad:yes, guestroom:yes, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:furnished 
 price:6300000, area:9000, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:1, prefarea:yes, furnishingstatus:furnished 
 price:6195000, area:6350, bedrooms:3, bathrooms:2, stories:3, mainroad:yes, guestroom:yes, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:furnished 
 price:6195000, area:5500, bedrooms:3, bathrooms:2, stories:1, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:6083000, area:4300, bedrooms:6, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:6083000, area:9620, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:6020000, area:6800, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:furnished 
 price:5950000, area:3700, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:yes, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:furnished 
 price:5950000, area:6420, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:5950000, area:6540, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:5950000, area:7320, bedrooms:4, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:5950000, area:6525, bedrooms:3, bathrooms:2, stories:4, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished 
 price:5873000, area:5500, bedrooms:3, bathrooms:1, stories:3, mainroad:yes, guestroom:yes, basement:no, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:5740000, area:6360, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:5600000, area:4700, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:5600000, area:5000, bedrooms:3, bathrooms:1, stories:4, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:5565000, area:5400, bedrooms:5, bathrooms:1, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:5530000, area:6100, bedrooms:3, bathrooms:2, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:5495000, area:2817, bedrooms:4, bathrooms:2, stories:2, mainroad:no, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished 
 price:5460000, area:3150, bedrooms:3, bathrooms:2, stories:1, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:furnished 
 price:5460000, area:6210, bedrooms:4, bathrooms:1, stories:4, mainroad:yes, guestroom:yes, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:furnished 
 price:5390000, area:6710, bedrooms:3, bathrooms:2, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:1, prefarea:yes, furnishingstatus:furnished 
 price:5250000, area:4260, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:furnished 
 price:5250000, area:8520, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:no, furnishingstatus:furnished 
 price:5215000, area:7200, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:1, prefarea:yes, furnishingstatus:furnished 
 price:5110000, area:3000, bedrooms:3, bathrooms:2, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:5110000, area:11410, bedrooms:2, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:5040000, area:7600, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:no, furnishingstatus:furnished 
 price:5040000, area:6600, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:4907000, area:4200, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished 
 price:4900000, area:12900, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:furnished 
 price:4830000, area:6862, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:4760000, area:6321, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:4690000, area:6000, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:4655000, area:3745, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:4585000, area:4000, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished 
 price:4550000, area:3640, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:furnished 
 price:4550000, area:2550, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:4543000, area:4990, bedrooms:4, bathrooms:2, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:4515000, area:3520, bedrooms:2, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:4480000, area:4000, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:furnished 
 price:4480000, area:8250, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:4473000, area:6360, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:4473000, area:3162, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:4340000, area:4500, bedrooms:3, bathrooms:2, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:yes, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished 
 price:4340000, area:3500, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:furnished 
 price:4319000, area:4032, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:4270000, area:6360, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:4270000, area:4500, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:no, furnishingstatus:furnished 
 price:4270000, area:4360, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:4270000, area:7770, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished 
 price:4235000, area:2787, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:4200000, area:7000, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:3, prefarea:no, furnishingstatus:furnished 
 price:4200000, area:4500, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:4098500, area:3600, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:4060000, area:4320, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:4025000, area:3460, bedrooms:3, bathrooms:2, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:3990000, area:3960, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:3920000, area:7260, bedrooms:3, bathrooms:2, stories:1, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:3, prefarea:no, furnishingstatus:furnished 
 price:3920000, area:3290, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:yes, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished 
 price:3920000, area:3816, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:no, furnishingstatus:furnished 
 price:3885000, area:3180, bedrooms:4, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:3850000, area:7152, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:furnished 
 price:3780000, area:2856, bedrooms:3, bathrooms:1, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:3780000, area:8400, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished 
 price:3773000, area:8250, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:furnished 
 price:3773000, area:2520, bedrooms:5, bathrooms:2, stories:1, mainroad:no, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:3773000, area:6930, bedrooms:4, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished 
 price:3710000, area:4050, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:3703000, area:5450, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:3675000, area:3630, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:3675000, area:3600, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:3640000, area:3000, bedrooms:2, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:furnished 
 price:3570000, area:3150, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:3570000, area:4500, bedrooms:4, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:furnished 
 price:3570000, area:4500, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:3500000, area:5900, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished 
 price:3465000, area:2145, bedrooms:3, bathrooms:1, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:3430000, area:2145, bedrooms:3, bathrooms:1, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:3395000, area:4785, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:3395000, area:3640, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:3360000, area:3185, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:furnished 
 price:3353000, area:2700, bedrooms:3, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:3332000, area:2145, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:3290000, area:6060, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:3290000, area:2145, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:3220000, area:3120, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:3150000, area:3450, bedrooms:1, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:3010000, area:4600, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:2940000, area:2700, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:2835000, area:2640, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished 
 price:2800000, area:3960, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:2590000, area:3600, bedrooms:2, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished 
 price:2520000, area:3000, bedrooms:2, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:2380000, area:2475, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:2380000, area:2787, bedrooms:4, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
 price:1750000, area:2910, bedrooms:3, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished 
